iter	Passed	Remaining
0	181	181723
1	203	101418
2	214	71383
3	226	56338
4	236	46966
5	248	41148
6	258	36678
7	267	33175
8	278	30712
9	290	28774
10	299	26963
11	313	25773
12	323	24528
13	331	23378
14	348	22861
15	360	22171
16	370	21444
17	379	20726
18	391	20203
19	401	19653
20	410	19148
21	423	18808
22	433	18399
23	442	17993
24	454	17720
25	463	17369
26	473	17068
27	487	16916
28	496	16610
29	505	16348
30	515	16120
31	526	15931
32	537	15747
33	548	15592
34	553	15266
35	569	15254
36	582	15158
37	595	15086
38	605	14908
39	618	14840
40	630	14741
41	638	14574
42	650	14482
43	667	14506
44	678	14401
45	695	14431
46	704	14294
47	715	14186
48	727	14114
49	736	13989
50	747	13910
51	759	13842
52	768	13722
53	779	13663
54	792	13620
55	802	13531
56	811	13429
57	826	13428
58	838	13368
59	847	13269
60	858	13215
61	869	13151
62	877	13056
63	889	13012
64	902	12975
65	910	12883
66	922	12846
67	933	12798
68	944	12737
69	956	12704
70	970	12699
71	978	12617
72	991	12596
73	1002	12549
74	1010	12466
75	1022	12426
76	1033	12385
77	1041	12315
78	1053	12284
79	1064	12238
80	1073	12177
81	1086	12161
82	1101	12168
83	1137	12399
84	1166	12561
85	1201	12767
86	1229	12906
87	1254	13002
88	1289	13203
89	1308	13225
90	1331	13295
91	1351	13340
92	1377	13434
93	1397	13468
94	1421	13538
95	1444	13603
96	1476	13744
97	1495	13762
98	1520	13835
99	1541	13874
100	1563	13919
101	1592	14015
102	1607	13996
103	1616	13928
104	1628	13879
105	1640	13836
106	1649	13766
107	1661	13718
108	1670	13658
109	1680	13594
110	1691	13550
111	1701	13487
112	1711	13435
113	1723	13398
114	1732	13335
115	1744	13291
116	1755	13247
117	1764	13187
118	1780	13180
119	1791	13138
120	1804	13108
121	1814	13055
122	1826	13021
123	1838	12985
124	1846	12927
125	1857	12881
126	1867	12838
127	1876	12783
128	1889	12757
129	1900	12716
130	1909	12663
131	1924	12651
132	1936	12621
133	1947	12582
134	1956	12539
135	1968	12508
136	1978	12465
137	1988	12421
138	2000	12391
139	2009	12344
140	2020	12309
141	2032	12280
142	2041	12232
143	2052	12200
144	2063	12168
145	2074	12134
146	2084	12096
147	2095	12062
148	2105	12023
149	2120	12016
150	2131	11985
151	2142	11950
152	2151	11908
153	2162	11879
154	2171	11837
155	2181	11803
156	2192	11770
157	2200	11725
158	2211	11699
159	2223	11673
160	2232	11635
161	2244	11611
162	2255	11579
163	2264	11542
164	2275	11517
165	2285	11480
166	2295	11451
167	2306	11424
168	2316	11389
169	2326	11360
170	2336	11329
171	2345	11291
172	2356	11266
173	2368	11243
174	2377	11208
175	2389	11186
176	2398	11151
177	2409	11126
178	2420	11102
179	2429	11066
180	2440	11043
181	2452	11021
182	2461	10989
183	2472	10965
184	2483	10939
185	2492	10906
186	2507	10900
187	2519	10880
188	2528	10847
189	2538	10822
190	2549	10796
191	2555	10752
192	2566	10729
193	2574	10697
194	2586	10678
195	2597	10655
196	2606	10626
197	2619	10608
198	2629	10583
199	2637	10551
200	2649	10533
201	2659	10507
202	2669	10479
203	2681	10462
204	2690	10432
205	2700	10409
206	2711	10386
207	2720	10359
208	2732	10340
209	2742	10318
210	2751	10288
211	2763	10271
212	2772	10243
213	2782	10220
214	2794	10204
215	2808	10192
216	2817	10166
217	2829	10149
218	2839	10127
219	2848	10099
220	2860	10081
221	2870	10060
222	2879	10033
223	2891	10015
224	2899	9988
225	2911	9972
226	2922	9950
227	2930	9923
228	2943	9910
229	2953	9889
230	2962	9861
231	2973	9843
232	2984	9824
233	2993	9799
234	3005	9782
235	3013	9757
236	3024	9736
237	3034	9714
238	3043	9690
239	3055	9674
240	3064	9651
241	3073	9627
242	3084	9610
243	3094	9588
244	3105	9571
245	3117	9554
246	3126	9530
247	3137	9513
248	3146	9491
249	3155	9467
250	3166	9449
251	3175	9425
252	3185	9406
253	3196	9387
254	3204	9362
255	3216	9346
256	3225	9324
257	3234	9303
258	3248	9293
259	3257	9271
260	3267	9252
261	3279	9236
262	3288	9214
263	3298	9195
264	3303	9162
265	3315	9148
266	3325	9130
267	3335	9109
268	3346	9093
269	3356	9073
270	3365	9054
271	3377	9039
272	3388	9024
273	3397	9002
274	3409	8987
275	3417	8965
276	3429	8952
277	3440	8934
278	3449	8913
279	3461	8901
280	3472	8884
281	3481	8863
282	3492	8849
283	3504	8834
284	3513	8813
285	3525	8802
286	3537	8788
287	3547	8769
288	3557	8752
289	3567	8735
290	3577	8715
291	3589	8702
292	3599	8686
293	3609	8667
294	3621	8655
295	3632	8638
296	3641	8620
297	3653	8606
298	3660	8581
299	3672	8570
300	3683	8553
301	3692	8533
302	3704	8520
303	3715	8507
304	3724	8487
305	3736	8475
306	3747	8458
307	3755	8438
308	3767	8423
309	3776	8406
310	3786	8388
311	3796	8372
312	3806	8353
313	3817	8339
314	3827	8324
315	3837	8306
316	3849	8293
317	3859	8277
318	3868	8259
319	3880	8247
320	3890	8230
321	3900	8212
322	3912	8200
323	3921	8181
324	3932	8167
325	3943	8153
326	3952	8134
327	3966	8126
328	3977	8112
329	3987	8095
330	3997	8078
331	4008	8065
332	4017	8047
333	4028	8033
334	4039	8018
335	4048	8001
336	4060	7987
337	4070	7971
338	4079	7954
339	4091	7942
340	4101	7926
341	4113	7915
342	4125	7902
343	4137	7889
344	4146	7872
345	4158	7860
346	4164	7836
347	4176	7824
348	4188	7812
349	4197	7796
350	4208	7781
351	4220	7769
352	4229	7752
353	4240	7738
354	4252	7725
355	4265	7716
356	4274	7698
357	4286	7686
358	4295	7669
359	4305	7653
360	4316	7640
361	4324	7621
362	4336	7609
363	4347	7595
364	4356	7579
365	4368	7567
366	4379	7554
367	4388	7536
368	4403	7529
369	4414	7517
370	4423	7500
371	4434	7485
372	4444	7471
373	4455	7456
374	4466	7443
375	4476	7429
376	4485	7411
377	4496	7399
378	4507	7385
379	4516	7369
380	4529	7359
381	4540	7346
382	4549	7329
383	4561	7317
384	4571	7302
385	4580	7286
386	4591	7272
387	4600	7256
388	4612	7244
389	4622	7230
390	4631	7214
391	4644	7204
392	4655	7191
393	4665	7176
394	4677	7163
395	4689	7153
396	4698	7136
397	4709	7123
398	4720	7109
399	4729	7094
400	4742	7084
401	4753	7071
402	4762	7055
403	4774	7043
404	4785	7030
405	4794	7014
406	4805	7001
407	4818	6991
408	4826	6974
409	4838	6962
410	4848	6948
411	4858	6933
412	4869	6921
413	4878	6905
414	4889	6892
415	4901	6881
416	4910	6865
417	4921	6851
418	4931	6838
419	4940	6822
420	4952	6811
421	4963	6798
422	4974	6785
423	4985	6772
424	4996	6760
425	5005	6744
426	5017	6732
427	5027	6719
428	5035	6701
429	5046	6689
430	5055	6674
431	5067	6663
432	5079	6651
433	5088	6635
434	5099	6623
435	5110	6610
436	5120	6597
437	5131	6584
438	5141	6570
439	5150	6555
440	5162	6544
441	5172	6529
442	5181	6515
443	5193	6503
444	5203	6489
445	5213	6476
446	5225	6464
447	5236	6452
448	5245	6437
449	5257	6425
450	5269	6413
451	5279	6400
452	5290	6388
453	5298	6372
454	5309	6360
455	5319	6346
456	5328	6331
457	5340	6319
458	5350	6305
459	5360	6292
460	5372	6280
461	5380	6265
462	5391	6252
463	5402	6241
464	5412	6227
465	5422	6213
466	5433	6201
467	5441	6186
468	5454	6175
469	5464	6162
470	5473	6147
471	5485	6136
472	5496	6123
473	5504	6108
474	5516	6097
475	5525	6082
476	5536	6070
477	5549	6060
478	5559	6046
479	5568	6032
480	5579	6019
481	5588	6005
482	5599	5993
483	5609	5979
484	5618	5965
485	5629	5954
486	5639	5940
487	5650	5927
488	5661	5916
489	5670	5902
490	5682	5890
491	5692	5877
492	5705	5867
493	5716	5855
494	5728	5844
495	5738	5830
496	5747	5817
497	5759	5805
498	5767	5790
499	5779	5779
500	5789	5766
501	5798	5752
502	5810	5741
503	5820	5728
504	5829	5713
505	5844	5705
506	5855	5693
507	5863	5679
508	5875	5667
509	5885	5654
510	5894	5640
511	5906	5629
512	5916	5616
513	5926	5603
514	5937	5591
515	5946	5577
516	5957	5565
517	5968	5553
518	5977	5540
519	5989	5528
520	6000	5516
521	6009	5502
522	6020	5491
523	6032	5479
524	6041	5465
525	6053	5454
526	6062	5441
527	6072	5428
528	6084	5417
529	6094	5404
530	6103	5390
531	6114	5378
532	6122	5364
533	6136	5354
534	6146	5342
535	6155	5328
536	6166	5317
537	6177	5305
538	6186	5291
539	6198	5280
540	6210	5268
541	6218	5254
542	6229	5243
543	6242	5232
544	6251	5219
545	6263	5207
546	6277	5199
547	6290	5188
548	6303	5177
549	6315	5166
550	6328	5156
551	6345	5149
552	6353	5135
553	6364	5123
554	6376	5112
555	6387	5101
556	6399	5089
557	6410	5077
558	6419	5064
559	6428	5050
560	6439	5038
561	6447	5025
562	6459	5013
563	6470	5002
564	6482	4991
565	6494	4979
566	6505	4967
567	6513	4954
568	6527	4944
569	6538	4932
570	6549	4920
571	6558	4907
572	6569	4895
573	6578	4882
574	6594	4873
575	6606	4862
576	6616	4850
577	6631	4841
578	6640	4828
579	6651	4816
580	6659	4802
581	6671	4791
582	6684	4781
583	6695	4769
584	6706	4757
585	6717	4746
586	6727	4733
587	6736	4720
588	6746	4707
589	6754	4694
590	6765	4682
591	6776	4670
592	6785	4657
593	6797	4646
594	6806	4633
595	6816	4620
596	6828	4609
597	6837	4596
598	6849	4585
599	6859	4573
600	6868	4559
601	6879	4548
602	6889	4536
603	6900	4524
604	6912	4513
605	6922	4500
606	6931	4488
607	6943	4476
608	6953	4464
609	6963	4451
610	6974	4440
611	6982	4427
612	6994	4415
613	7004	4403
614	7013	4390
615	7025	4379
616	7035	4367
617	7045	4355
618	7057	4343
619	7067	4331
620	7077	4319
621	7090	4309
622	7103	4298
623	7112	4285
624	7124	4274
625	7135	4263
626	7144	4250
627	7157	4239
628	7168	4228
629	7177	4215
630	7189	4204
631	7200	4192
632	7211	4181
633	7222	4169
634	7233	4157
635	7242	4144
636	7253	4133
637	7263	4121
638	7272	4108
639	7283	4097
640	7292	4084
641	7303	4072
642	7316	4062
643	7333	4053
644	7344	4042
645	7355	4030
646	7367	4019
647	7378	4008
648	7387	3995
649	7399	3984
650	7409	3972
651	7418	3959
652	7429	3948
653	7438	3935
654	7449	3923
655	7459	3911
656	7468	3898
657	7479	3887
658	7489	3875
659	7501	3864
660	7514	3853
661	7524	3841
662	7533	3829
663	7546	3818
664	7556	3806
665	7565	3794
666	7577	3783
667	7586	3770
668	7595	3758
669	7608	3747
670	7617	3734
671	7627	3722
672	7637	3710
673	7649	3699
674	7660	3688
675	7671	3676
676	7680	3664
677	7692	3653
678	7703	3641
679	7711	3629
680	7723	3617
681	7733	3606
682	7742	3593
683	7754	3582
684	7763	3570
685	7774	3558
686	7784	3546
687	7795	3535
688	7806	3523
689	7817	3512
690	7826	3499
691	7837	3488
692	7847	3476
693	7856	3464
694	7867	3452
695	7876	3440
696	7887	3429
697	7899	3417
698	7907	3405
699	7920	3394
700	7931	3382
701	7940	3370
702	7952	3359
703	7962	3347
704	7971	3335
705	7983	3324
706	7993	3312
707	8002	3300
708	8014	3289
709	8023	3277
710	8033	3265
711	8044	3253
712	8052	3241
713	8064	3230
714	8074	3218
715	8087	3207
716	8097	3196
717	8109	3184
718	8118	3172
719	8130	3161
720	8140	3150
721	8150	3138
722	8162	3127
723	8171	3115
724	8180	3103
725	8192	3091
726	8201	3079
727	8211	3067
728	8224	3057
729	8236	3046
730	8244	3034
731	8256	3022
732	8264	3010
733	8274	2998
734	8285	2987
735	8294	2975
736	8305	2963
737	8316	2952
738	8325	2940
739	8337	2929
740	8346	2917
741	8355	2905
742	8366	2893
743	8377	2882
744	8388	2871
745	8398	2859
746	8407	2847
747	8419	2836
748	8429	2824
749	8439	2813
750	8450	2801
751	8459	2789
752	8469	2778
753	8480	2766
754	8488	2754
755	8500	2743
756	8513	2732
757	8521	2720
758	8533	2709
759	8543	2697
760	8551	2685
761	8562	2674
762	8571	2662
763	8583	2651
764	8594	2640
765	8603	2628
766	8614	2616
767	8626	2605
768	8635	2594
769	8647	2582
770	8657	2571
771	8668	2560
772	8679	2548
773	8689	2537
774	8697	2525
775	8708	2513
776	8717	2501
777	8729	2490
778	8740	2479
779	8749	2467
780	8761	2456
781	8772	2445
782	8781	2433
783	8793	2422
784	8804	2411
785	8815	2400
786	8826	2388
787	8837	2377
788	8846	2365
789	8858	2354
790	8869	2343
791	8879	2331
792	8890	2320
793	8902	2309
